route_name,route_index,stop_id,stop_name,original_latitude,original_longitude,snapped_latitude,snapped_longitude,formatted_address,place_id,search_query
KK.Nagar (Sivan Park),88,stop6,vVirugambakkam Vembuliyamman Koil,13.0418046,80.1886895,13.041803816453296,80.1891285901734,"25RQ+PFG, Vembuliamman Koil St, Vetri Nagar, Annaji Nagar, KK Nagar West, K. K. Nagar, Chennai, Tamil Nadu 600078, India",ChIJaT3xBABnUjoRY1XyutXwxVI,"vVirugambakkam Vembuliyamman Koil, KK.Nagar (Sivan Park), Chennai"
Nesapakkam,89,stop1,Nesapakkam Bus Stand,13.0464305,80.201915,13.04643090348649,80.20188762782865,"Passport Seva Kendra, Bharani Colony, Vijayaraghavapuram, Saligramam, Chennai, Tamil Nadu 600093, India",ChIJqzX3YQBnUjoRuD3qmLkSzBs,"Nesapakkam Bus Stand, Nesapakkam, Chennai"
Nesapakkam,89,stop2,Pondichery Guest House,13.0418584,80.1939078,13.041770413099252,80.19389524279562,"Pondicherry Guest House, Ramaswamy Salai, Santhiniketan Colony, Sector 10, K. K. Nagar, Chennai, Tamil Nadu 600083, India",ChIJv7OHedFmUjoR1riId3iRrsk,"Pondichery Guest House, Nesapakkam, Chennai"
Porur Ramachandra,90,stop1,Ramachandra,13.0407012,80.1428688,13.040665127791698,80.1430984080921,"Ramachandra Medical College, Trunk Rd, Sri Ramachandra Nagar, Porur, Chennai, Tamil Nadu 600116, India",ChIJf5NPI01hUjoRugrN8w6b59s,"Ramachandra, Porur Ramachandra, Chennai"
Porur Ramachandra,90,stop2,Ambedkar Statue,13.0472525,80.1544792,13.047322513500639,80.15447231213973,"240, 12th St, Porur Garden-I, Porur Gardens, Vanagaram, Chennai, Tamil Nadu 600116, India",ChIJl2BELJlhUjoRgxcKEoP9WlA,"Ambedkar Statue, Porur Ramachandra, Chennai"
Porur Ramachandra,90,stop3,Kattupakkam Honda Show Room,12.9774141,80.1312815,12.977315234646039,80.13125054297994,"Pasumpon Nagar, Pammal, Chennai, Tamil Nadu 600070, India",ChIJkQir2DpfUjoRl90t_ANrOaA,"Kattupakkam Honda Show Room, Porur Ramachandra, Chennai"
Porur Ramachandra,90,stop4,Maran garden,13.0407012,80.1428688,13.040665127791698,80.1430984080921,"Ramachandra Medical College, Trunk Rd, Sri Ramachandra Nagar, Porur, Chennai, Tamil Nadu 600116, India",ChIJf5NPI01hUjoRugrN8w6b59s,"Maran garden, Porur Ramachandra, Chennai"
Porur Ramachandra,90,stop5,Munisvaran Koil (Kattupakkam),13.0407012,80.1428688,13.040665127791698,80.1430984080921,"Ramachandra Medical College, Trunk Rd, Sri Ramachandra Nagar, Porur, Chennai, Tamil Nadu 600116, India",ChIJf5NPI01hUjoRugrN8w6b59s,"Munisvaran Koil (Kattupakkam), Porur Ramachandra, Chennai"
Porur Bridge,91,stop1,Porur Bus stand,13.0348062,80.1559751,13.03480646260368,80.15597524158372,"MGR Flyover, Porur, Chennai, Tamil Nadu 600116, India",ChIJV0-2uh1hUjoRt4TFNcnTaQU,"Porur Bus stand, Porur Bridge, Chennai"
Porur Bridge,91,stop2,Kattupakkam (Hyundai showroom),13.0348062,80.1559751,13.03480646260368,80.15597524158372,"MGR Flyover, Porur, Chennai, Tamil Nadu 600116, India",ChIJV0-2uh1hUjoRt4TFNcnTaQU,"Kattupakkam (Hyundai showroom), Porur Bridge, Chennai"
Porur Bridge,91,stop3,Kattupakkam Bus stand,13.0348062,80.1559751,13.03480646260368,80.15597524158372,"MGR Flyover, Porur, Chennai, Tamil Nadu 600116, India",ChIJV0-2uh1hUjoRt4TFNcnTaQU,"Kattupakkam Bus stand, Porur Bridge, Chennai"
Porur Bridge,91,stop4,Kattupakkam Muneeswaran Kovil,13.0348062,80.1559751,13.03480646260368,80.15597524158372,"MGR Flyover, Porur, Chennai, Tamil Nadu 600116, India",ChIJV0-2uh1hUjoRt4TFNcnTaQU,"Kattupakkam Muneeswaran Kovil, Porur Bridge, Chennai"
Porur Bridge,91,stop5,Kumanachavdi (EVP Mahal),13.0348062,80.1559751,13.03480646260368,80.15597524158372,"MGR Flyover, Porur, Chennai, Tamil Nadu 600116, India",ChIJV0-2uh1hUjoRt4TFNcnTaQU,"Kumanachavdi (EVP Mahal), Porur Bridge, Chennai"
Iyyappanthangal,92,stop1,Iyyappanthangal,13.0380617,80.1353549,13.03811350975486,80.13537614442544,"Iyyappanthangal, Chennai, Tamil Nadu, India",ChIJv9YSca5hUjoRIYViy3udkbc,"Iyyappanthangal, Iyyappanthangal, Chennai"
